date,mloan_total_number,mloan_private_number,loan_body_total,loan_body_private,interest_private
9/30/2018,"21,245,181.00","21,222,863.00","148,585.89","120,951.99","57,625.69"
12/31/2018,"28,902,466.00","28,870,483.00","163,636.97","134,033.54","64,960.44"
3/31/2019,"8,355,092.00","8,347,810.00","173,605.78","143,030.12","71,524.30"
6/30/2019,"16,878,670.00","16,861,566.00","189,849.61","155,622.73","81,901.61"
9/30/2019,"24,938,852.00","24,913,940.00","201,338.02","164,969.63","87,867.88"
12/31/2019,"33,816,468.00","33,780,777.00","211,905.74","171,474.27","89,766.35"
3/31/2020,"8,232,232.00","8,226,326.00","219,032.18","177,176.31","96,437.03"
6/30/2020,"14,843,499.00","14,829,833.00","212,922.53","166,391.06","99,137.18"
9/30/2020,"22,818,969.00","22,795,812.00","225,805.89","172,585.64","96,268.30"
12/31/2020,"31,600,637.00","31,566,667.00","249,033.48","188,212.78","96,532.21"
3/31/2021,"9,915,339.00","9,909,184.00","267,935.16","206,775.12","102,923.25"
6/30/2021,"21,505,208.00","21,491,125.00","286,883.49","223,511.96","110,123.76"
9/30/2021,"32,554,904.00","32,532,996.90","304,773.26","240,910.16","118,830.23"
12/31/2021,"45,793,987.00","45,763,795.00","329,471.74","266,606.15","125,682.97"
3/31/2022,"13,035,097.00","13,029,146.89","342,359.67","279,512.01","138,837.26"
6/30/2022,"26,193,466.00","26,177,790.00","346,373.96","278,680.74","152,112.47"
9/30/2022,"40,837,969.03","40,815,932.12","364,173.94","295,641.12","162,571.91"
12/31/2022,"55,330,435.00","55,280,056.79","364,354.26","290,956.70","173,096.49"
3/31/2023,"15,563,368.24","15,545,108.78","380,731.64","307,399.95","182,280.64"
6/30/2023,"33,412,387.75","33,365,833.75","397,873.61","324,079.94","188,316.32"
9/30/2023,"52,504,720.60","52,421,446.14","422,995.60","346,758.83","199,465.55"
12/31/2023,"73,999,697.00","73,874,578.00","442,926.22","361,552.77","199,179.01"
